City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Jamestown,US,42.097,-79.2353,60.39,58,90,8.05,overcast clouds
1,Kalmunai,LK,7.4167,81.8167,79.9,80,77,4.43,broken clouds
2,Kanel,SN,15.4916,-13.1763,96.85,24,50,4.23,scattered clouds
3,Belaya Gora,RU,68.5333,146.4167,63.39,34,32,14.47,scattered clouds
4,Yellowknife,CA,62.456,-114.3525,50.32,61,75,3.0,broken clouds
5,Hasaki,JP,35.7333,140.8333,73.18,65,26,12.57,scattered clouds
6,Sibolga,ID,1.7427,98.7792,75.34,89,73,3.24,light rain
7,Kodiak,US,57.79,-152.4072,46.8,82,100,7.27,overcast clouds
8,Hermanus,ZA,-34.4187,19.2345,54.9,74,98,6.08,overcast clouds
9,Avarua,CK,-21.2078,-159.775,78.85,53,47,8.05,scattered clouds
10,Busselton,AU,-33.65,115.3333,51.08,67,92,13.31,overcast clouds
11,Port Alfred,ZA,-33.5906,26.891,57.22,67,97,12.06,overcast clouds
12,Nikolskoye,RU,59.7035,30.7861,39.09,67,10,2.53,clear sky
13,Punta Arenas,CL,-53.15,-70.9167,33.12,74,26,7.18,scattered clouds
14,Geraldton,AU,-28.7667,114.6,55.81,100,75,15.37,broken clouds
15,Cabo San Lucas,MX,22.8909,-109.9124,99.52,28,1,11.5,clear sky
16,Dikson,RU,73.5069,80.5464,30.2,98,100,4.47,snow
17,Hambantota,LK,6.1241,81.1185,79.95,79,100,19.37,overcast clouds
18,Kemijarvi,FI,66.7131,27.4306,45.86,73,100,4.59,overcast clouds
19,Puerto Ayora,EC,-0.7393,-90.3518,74.55,86,19,7.0,few clouds
20,Atuona,PF,-9.8,-139.0333,79.54,64,6,8.86,clear sky
21,Bosaso,SO,11.2842,49.1816,87.44,55,7,2.77,clear sky
22,Fare,PF,-16.7,-151.0167,79.66,75,99,15.86,overcast clouds
23,Pevek,RU,69.7008,170.3133,38.91,68,7,3.06,clear sky
24,Mahebourg,MU,-20.4081,57.7,72.25,83,22,8.52,few clouds
25,Qaanaaq,GL,77.484,-69.3632,31.01,95,100,1.59,overcast clouds
26,Pahrump,US,36.2083,-115.9839,96.51,8,14,8.01,few clouds
27,Castro,BR,-24.7911,-50.0119,56.23,99,100,2.1,overcast clouds
28,Mandiana,GN,10.6333,-8.6833,77.63,76,99,8.16,overcast clouds
29,Gamba,GA,-2.65,10.0,76.12,91,91,7.81,overcast clouds
30,Lashio,MM,22.9333,97.75,68.41,98,100,0.78,overcast clouds
31,Severo-Kurilsk,RU,50.6789,156.125,38.98,97,100,21.07,moderate rain
32,Breves,BR,-1.6822,-50.4803,77.76,85,47,4.74,scattered clouds
33,Tasiilaq,GL,65.6145,-37.6368,37.56,94,100,8.16,overcast clouds
34,Berovo,MK,41.7031,22.8578,46.98,98,100,6.29,overcast clouds
35,Mataura,NZ,-46.1927,168.8643,49.48,98,100,3.47,overcast clouds
36,Rikitea,PF,-23.1203,-134.9692,75.2,68,94,12.06,overcast clouds
37,Kapaa,US,22.0752,-159.319,85.48,69,88,4.0,overcast clouds
38,Saint-Pierre,RE,-21.3393,55.4781,71.28,48,0,11.5,clear sky
39,Butaritari,KI,3.0707,172.7902,83.17,77,80,13.73,broken clouds
40,Golcuv Jenikov,CZ,49.8163,15.4769,45.32,90,0,0.49,clear sky
41,Skibbereen,IE,51.55,-9.2667,53.4,89,31,5.17,scattered clouds
42,Neiafu,TO,-18.65,-173.9833,79.95,80,90,8.28,light rain
43,Norman Wells,CA,65.282,-126.8329,56.59,50,60,10.94,broken clouds
44,Ushuaia,AR,-54.8,-68.3,23.59,97,100,1.43,light snow
45,Gaoua,BF,10.2992,-3.2508,81.39,63,10,7.74,clear sky
46,Souillac,MU,-20.5167,57.5167,72.36,87,12,7.34,few clouds
47,Katsuura,JP,35.1333,140.3,73.24,68,7,14.58,clear sky
48,Mount Gambier,AU,-37.8333,140.7667,41.72,57,48,8.21,scattered clouds
49,Salalah,OM,17.0151,54.0924,80.44,83,93,9.62,overcast clouds
50,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,74.73,97,62,2.55,broken clouds
51,Terney,RU,45.0503,136.6092,43.63,92,100,2.44,overcast clouds
52,Aljezur,PT,37.3191,-8.8033,60.12,91,71,5.26,broken clouds
53,Trairi,BR,-3.2778,-39.2689,77.7,83,4,8.7,clear sky
54,Isiro,CD,2.7739,27.616,69.48,94,63,2.44,broken clouds
55,Vardo,NO,70.3705,31.1107,41.2,91,100,17.81,overcast clouds
56,Esperance,AU,-33.8667,121.9,55.24,84,86,26.73,light rain
57,Sao Joao Da Ponte,BR,-15.9292,-44.0078,71.51,38,5,3.38,light rain
58,Mar Del Plata,AR,-38.0023,-57.5575,49.12,56,74,3.0,broken clouds
59,Benguela,AO,-12.5763,13.4055,73.24,71,2,4.21,clear sky
60,Gordeyevka,RU,52.9569,31.9703,43.59,94,93,5.26,overcast clouds
61,Sambava,MG,-14.2667,50.1667,71.87,90,29,6.91,light rain
62,Margate,GB,51.3813,1.3862,53.31,83,4,4.0,clear sky
63,Antofagasta,CL,-23.65,-70.4,61.97,86,41,5.41,scattered clouds
64,Hithadhoo,MV,-0.6,73.0833,83.52,72,15,18.66,few clouds
65,Yeppoon,AU,-23.1333,150.7333,62.38,69,4,12.39,clear sky
66,Cape Town,ZA,-33.9258,18.4232,55.11,83,84,4.99,broken clouds
67,Hualmay,PE,-11.0964,-77.6139,65.93,86,56,9.37,broken clouds
68,Birao,CF,10.2849,22.7882,86.29,34,19,4.45,few clouds
69,Vaini,TO,-21.2,-175.2,73.56,83,90,6.91,moderate rain
70,Leh,IN,34.1667,77.5833,49.59,52,100,2.04,overcast clouds
71,Portland,US,45.5234,-122.6762,85.6,36,100,1.01,overcast clouds
72,Tuktoyaktuk,CA,69.4541,-133.0374,40.3,64,3,3.58,clear sky
73,Kodinsk,RU,58.6881,99.1844,41.09,91,97,0.49,overcast clouds
74,Hobart,AU,-42.8794,147.3294,42.12,92,20,1.01,few clouds
75,Tura,IN,25.5198,90.2201,72.88,96,87,3.89,overcast clouds
76,Asau,RO,46.4333,26.4,52.95,90,82,1.9,broken clouds
77,East London,ZA,-33.0153,27.9116,56.8,64,85,8.77,overcast clouds
78,Bethel,US,41.3712,-73.414,50.2,91,100,10.74,light rain
79,Pauini,BR,-7.7136,-66.9764,74.68,95,71,2.37,broken clouds
