City_ID,City,Country,Max_Temp,Current_Description,Lat,Lng,Hotel_Name
5,Hasaki,JP,73.18,scattered clouds,35.7333,140.8333,Hotel Sunrise Choshi
19,Puerto Ayora,EC,74.55,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
24,Mahebourg,MU,72.25,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
38,Saint-Pierre,RE,71.28,clear sky,-21.3393,55.4781,Lindsey Hôtel
46,Souillac,MU,72.36,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
47,Katsuura,JP,73.24,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
50,Santa Isabel Do Rio Negro,BR,74.73,broken clouds,-0.4139,-65.0192,Hotel GSA
57,Sao Joao Da Ponte,BR,71.51,light rain,-15.9292,-44.0078,Hotel da Cidade
59,Benguela,AO,73.24,clear sky,-12.5763,13.4055,Hotel Praia Morena
61,Sambava,MG,71.87,light rain,-14.2667,50.1667,Melrose
69,Vaini,TO,73.56,moderate rain,-21.2,-175.2,Keleti Beach Resort
75,Tura,IN,72.88,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
79,Pauini,BR,74.68,broken clouds,-7.7136,-66.9764,Casa do Kiwliks
83,Arraial Do Cabo,BR,73.36,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
85,Bambous Virieux,MU,72.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
89,Pinos,MX,70.79,broken clouds,22.3,-101.5667,Hotel El Meson Del Conde
100,Vilhena,BR,72.25,broken clouds,-12.7406,-60.1458,Hotel Mirage
103,Atambua,ID,73.47,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
111,Saint-Philippe,RE,71.19,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
117,Kintampo,GH,74.64,moderate rain,8.0563,-1.7306,Adomaa Memorial Hotel
126,Yishui,CN,70.61,scattered clouds,35.7847,118.6281,Nationality Hotel
148,Koumac,NC,72.37,broken clouds,-20.5667,164.2833,Le Monitel
160,Laibin,CN,74.52,overcast clouds,23.7,109.2667,GreenTree Alliance Laibin Railway Station Hotel
167,Vila Do Maio,CV,74.19,overcast clouds,15.1333,-23.2167,Hotel Marilu
179,Sao Joao Da Barra,BR,73.72,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
182,Prabumulih,ID,72.81,light rain,-3.45,104.25,OYO 2722 Lemon Residence Prabumulih
185,Naze,JP,71.74,overcast clouds,28.3667,129.4833,奄美ポートタワーホテル
188,Sao Filipe,CV,73.69,overcast clouds,14.8961,-24.4956,Hotel Xaguate
